"","Species","Mass_g","Binomial","GBIF_ID"
"1002","Cyttarops alecto",5.3,"Cyttarops_alecto","2433138"
"1003","Dactylomys boliviensis",689.39,"Dactylomys_boliviensis","2439798"
"1004","Dactylomys dactylinus",649.98,"Dactylomys_dactylinus","2439800"
"1005","Dactylomys peruanus",382,"Dactylomys_peruanus","2439799"
"1006","Dactylopsila megalura",400,"Dactylopsila_megalura","2440038"
"1007","Dactylopsila palpator",369.87,"Dactylopsila_palpator","2440032"
"1008","Dactylopsila tatei",359,"Dactylopsila_tatei","2440039"
"1009","Dactylopsila trivirgata",406.705,"Dactylopsila_trivirgata","2440033"
"1010","Dama dama",63612.305,"Dama_dama","5220136"
"1011","Damaliscus korrigum",118597.435,"Damaliscus_korrigum","7261430"
"1012","Damaliscus lunatus",119000,"Damaliscus_lunatus","2441041"
"1013","Damaliscus pygargus",84500,"Damaliscus_pygargus","2441042"
"1014","Dasycercus cristicauda",90,"Dasycercus_cristicauda","2435422"
"1015","Dasykaluta rosamondae",32.17,"Dasykaluta_rosamondae","2435441"
"1016","Dasymys alleni",116.965,"Dasymys_alleni","4264904"
"1017","Dasymys foxi",116.965,"Dasymys_foxi","2438417"
"1018","Dasymys incomtus",116.965,"Dasymys_incomtus","2438420"
"1019","Dasymys montanus",116.965,"Dasymys_montanus","2438418"
"1020","Dasymys nudipes",116.965,"Dasymys_nudipes","2438416"
"1021","Dasymys rufulus",116.965,"Dasymys_rufulus","2438419"
"1022","Dasyprocta azarae",3412.905,"Dasyprocta_azarae","2437582"
"1023","Dasyprocta coibae",2229.56,"Dasyprocta_coibae","2437579"
"1024","Dasyprocta cristata",2650,"Dasyprocta_cristata","8984909"
"1025","Dasyprocta fuliginosa",3500.01,"Dasyprocta_fuliginosa","2437581"
"1026","Dasyprocta guamara",2650.03,"Dasyprocta_guamara","2437578"
"1027","Dasyprocta kalinowskii",2650.03,"Dasyprocta_kalinowskii","2437574"
"1028","Dasyprocta leporina",3137.495,"Dasyprocta_leporina","2437577"
"1029","Dasyprocta mexicana",3849.995,"Dasyprocta_mexicana","2437584"
"1030","Dasyprocta prymnolopha",2900,"Dasyprocta_prymnolopha","2437580"
"1031","Dasyprocta punctata",2229.56,"Dasyprocta_punctata","2437576"
"1032","Dasypus hybridus",1500,"Dasypus_hybridus","2440778"
"1033","Dasypus kappleri",9926.415,"Dasypus_kappleri","2440788"
"1034","Dasypus novemcinctus",3949.01,"Dasypus_novemcinctus","2440779"
"1035","Dasypus pilosus",4444.98,"Dasypus_pilosus","2440777"
"1036","Dasypus sabanicola",1150.005,"Dasypus_sabanicola","2440787"
"1037","Dasypus septemcinctus",1500.82,"Dasypus_septemcinctus","2440776"
"1038","Dasyuroides byrnei",105,"Dasyuroides_byrnei","2435467"
"1039","Dasyurus albopunctatus",603.48,"Dasyurus_albopunctatus","2435359"
"1040","Dasyurus geoffroii",1300,"Dasyurus_geoffroii","2435362"
"1041","Dasyurus hallucatus",564.5,"Dasyurus_hallucatus","2435358"
"1042","Dasyurus maculatus",1782,"Dasyurus_maculatus","2435361"
"1043","Dasyurus spartacus",885.67,"Dasyurus_spartacus","2435360"
"1044","Dasyurus viverrinus",982,"Dasyurus_viverrinus","2435357"
"1045","Daubentonia madagascariensis",2610.33,"Daubentonia_madagascariensis","5219587"
"1046","Delanymys brooksi",4.99,"Delanymys_brooksi","2437678"
"1047","Delomys collinus",67.5,"Delomys_collinus","4265160"
"1048","Delomys dorsalis",67.5,"Delomys_dorsalis","2438532"
"1049","Delomys sublineatus",89.99,"Delomys_sublineatus","2438531"
"1050","Delphinapterus leucas",1380000,"Delphinapterus_leucas","5220003"
"1051","Delphinus delphis",77818.345,"Delphinus_capensis","8324617"
"1052","Delphinus delphis",77818.345,"Delphinus_delphis","8324617"
"1053","Deltamys kempi",26.4,"Deltamys_kempi","4265101"
"1054","Dendrogale melanura",59.99,"Dendrogale_melanura","2436262"
"1055","Dendrogale murina",49.99,"Dendrogale_murina","2436261"
"1056","Dendrohyrax arboreus",2981.11,"Dendrohyrax_arboreus","2437044"
"1057","Dendrohyrax dorsalis",2663.335,"Dendrohyrax_dorsalis","2437046"
"1058","Dendrolagus bennettianus",9581,"Dendrolagus_bennettianus","2440210"
"1059","Dendrolagus dorianus",9581,"Dendrolagus_dorianus","2440213"
"1060","Dendrolagus goodfellowi",7400,"Dendrolagus_goodfellowi","2440222"
"1061","Dendrolagus inustus",8293.4,"Dendrolagus_inustus","2440217"
"1062","Dendrolagus lumholtzi",6649.97,"Dendrolagus_lumholtzi","2440208"
"1063","Dendrolagus matschiei",7080,"Dendrolagus_matschiei","2440206"
"1064","Dendrolagus mbaiso",9395.06,"Dendrolagus_mbaiso","2440211"
"1065","Dendrolagus pulcherrimus",7400,"Dendrolagus_pulcherrimus","2440220"
"1066","Dendrolagus scottae",9979.29,"Dendrolagus_scottae","2440207"
"1067","Dendrolagus spadix",7400,"Dendrolagus_spadix","2440212"
"1068","Dendrolagus stellarum",7674.39,"Dendrolagus_stellarum","2440209"
"1069","Dendrolagus ursinus",8000,"Dendrolagus_ursinus","2440221"
"1070","Dendromus insignis",10.6,"Dendromus_insignis","5219772"
"1071","Dendromus leucostomus",7.4,"Dendromus_leucostomus","5706523"
"1072","Dendromus lovati",12,"Dendromus_lovati","5219768"
"1073","Dendromus melanotis",7.4,"Dendromus_melanotis","5219775"
"1074","Dendromus mesomelas",10.6,"Dendromus_mesomelas","5219770"
"1075","Dendromus messorius",7.685,"Dendromus_messorius","5219767"
"1076","Dendromus mystacalis",7.685,"Dendromus_mystacalis","5219774"
"1077","Dendromus nyasae",10.6,"Dendromus_nyasae","5706524"
"1078","Dendromus nyikae",15,"Dendromus_nyikae","5219769"
"1079","Dendromus vernayi",10.6,"Dendromus_vernayi","5219773"
"1080","Deomys ferrugineus",57.6,"Deomys_ferrugineus","2438901"
"1081","Dephomys defua",44.025,"Dephomys_defua","2437937"
"1082","Dephomys eburneae",52.5,"Dephomys_eburneae","4264973"
"1083","Desmana moschata",983.805,"Desmana_moschata","2436117"
"1084","Desmodilliscus braueri",10,"Desmodilliscus_braueri","2437685"
"1085","Desmodillus auricularis",54.81,"Desmodillus_auricularis","2437723"
"1086","Desmodus rotundus",33.18,"Desmodus_rotundus","2433298"
"1087","Desmomys harringtoni",89.99,"Desmomys_harringtoni","2438879"
"1088","Diaemus youngi",36.6,"Diaemus_youngi","7388991"
"1089","Dicerorhinus sumatrensis",1260000,"Dicerorhinus_sumatrensis","2440878"
"1090","Diceros bicornis",995940.54,"Diceros_bicornis","5220111"
"1091","Diclidurus albus",18.5,"Diclidurus_albus","2433092"
"1092","Diclidurus ingens",12.3,"Diclidurus_ingens","2433090"
"1093","Diclidurus isabellus",12.61,"Diclidurus_isabellus","2433093"
"1094","Diclidurus scutatus",13.62,"Diclidurus_scutatus","2433091"
"1095","Dicrostonyx groenlandicus",58.44,"Dicrostonyx_groenlandicus","2438391"
"1096","Dicrostonyx hudsonius",57,"Dicrostonyx_hudsonius","2438389"
"1097","Dicrostonyx nelsoni",58.44,"Dicrostonyx_nelsoni","2438390"
"1098","Dicrostonyx nunatakensis",58.44,"Dicrostonyx_nunatakensis","2438387"
"1099","Dicrostonyx richardsoni",57.62,"Dicrostonyx_richardsoni","2438386"
"1100","Dicrostonyx torquatus",67.885,"Dicrostonyx_torquatus","2438384"
"1101","Dicrostonyx torquatus",67.885,"Dicrostonyx_vinogradovi","2438384"
"1102","Dicrostonyx unalascensis",58.44,"Dicrostonyx_unalascensis","2438385"
"1103","Didelphis albiventris",1030.47,"Didelphis_albiventris","2439930"
"1104","Didelphis aurita",1149.875,"Didelphis_aurita","2439928"
"1105","Didelphis imperfecta",1030.47,"Didelphis_imperfecta","2439929"
"1106","Didelphis marsupialis",1149.875,"Didelphis_marsupialis","2439920"
"1107","Didelphis pernigra",1030.47,"Didelphis_pernigra","2439919"
"1108","Didelphis virginiana",1414.5,"Didelphis_virginiana","2439923"
"1109","Dinaromys bogdanovi",56,"Dinaromys_bogdanovi","2438502"
"1110","Dinomys branickii",12500,"Dinomys_branickii","2437612"
"1111","Diphylla ecaudata",28.11,"Diphylla_ecaudata","2433173"
