Order,Family,Genus_species,English_Name,Name_Tree,Super order,Status ,n,n_Small Intestine,Body mass_Small intestine,Small Intestine_Length,n_Large Intestine,Body mass_Large Intestine,Large Intestine_Length,n_Caecum,Body mass_Ceaecum,Caecum_Length,n_Colon,Body mass_Colon,Colon_Length,n_Total Intestine,Body mass_Total Intestine,Total Intestine_Length,Source,Inv,Vend,Vect,Vfish,Vunk,Faunivory,Scav,Total_Faunivory,Fruit,Nect,Seed,Fruit/Nect/Seed,PlantO,Total_Plant,Source,Certainty,Type_I,Type_II,Latitude,Abs_Lat,Mean_Precip,Mean_Temp,Mean_AET,Mean_PET,Volant,Marine,Foregut
Cetartiodactyla,Cervidae,Blastocerus_dichotomus,Marsh deer,Blastocerus_dichotomus_CERVIDAE_CETARTIODACTYLA,Laurasiatheria,captive,1,1,56.000,877.00,1,56.000,472.00,1,56.000,32.00,1,56.000,440.00,1,56.000,1349.00,McGrosky et al. (2019),0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,-19.49,19.49,121.57,23.32,1195.43,1404.04,0,0,1
Cetartiodactyla,Bovidae,Bos_javanicus,Banteng,Bos_javanicus_BOVIDAE_CETARTIODACTYLA,Laurasiatheria,captive,1,1,600.000,3195.00,1,600.000,897.00,1,600.000,67.00,1,600.000,830.00,1,600.000,4092.00,McGrosky et al. (2019),0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,8.15,8.15,187.69,23.92,1301.28,1592.26,0,0,1
Cetartiodactyla,Bovidae,Bos_primigenius,Aurochs,Bos_primigenius_BOVIDAE_CETARTIODACTYLA,Laurasiatheria,captive,3,3,474.300,4073.30,3,474.300,1011.70,3,474.300,57.00,3,474.300,954.70,3,474.300,5085.00,Snipes and Snipes (1997),0,0,0,0,0,0,0,0,0,0,0,0,100,100,,,Herb,Herb,,,,,,,0,0,1
Chiroptera,Phyllostomidae,Brachyphylla_cavernarum,Antillean fruit-eating bat,Brachyphylla_cavernarum_PHYLLOSTOMIDAE_CHIROPTERA,Laurasiatheria,unknown,1,,,,,,,,,,,,,1,0.047,30.30,Jones & MacLarnon 2004 in Caviedes-Vidal et al 2007,10,0,0,0,0,10,0,10,70,10,0,80,10,90,Ref_1,ABC,Herb,Herb,15.78,15.78,104.75,24.00,,,1,0,0
Pilosa,Bradypodidae,Bradypus_tridactylus,Pale-throated three-toed sloth,Bradypus_tridactylus_BRADYPODIDAE_PILOSA,Xenarthra,wild ,4,,,,,,,,,,,,,4,3.000,198.50,Da Mota et al. (1989),0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,3.1,3.1,157.98,25.06,1478.74,1691.34,0,0,1
Cetartiodactyla,Bovidae,Bubalus_depressicornis,Lowland anoa,Bubalus_depressicornis_BOVIDAE_CETARTIODACTYLA,Laurasiatheria,captive,1,1,53.000,1565.00,1,53.000,442.00,1,53.000,26.00,1,53.000,416.00,1,53.000,2007.00,Clauss et al. (2009),0,0,0,0,0,0,0,0,20,0,0,20,80,100,Ref_1,ABC,Herb,Herb,-1.33,1.33,227.75,19.78,1814.71,1867.36,0,0,1
Cetartiodactyla,Bovidae,Budorcas_taxicolor,Takin,Budorcas_taxicolor_BOVIDAE_CETARTIODACTYLA,Laurasiatheria,captive,1,1,352.000,2762.50,1,352.000,1280.50,1,352.000,81.50,1,352.000,1199.00,1,352.000,4043.00,This study,0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,30.15,30.15,129.45,3.99,808.24,1002.24,0,0,1
Afrosoricida,Chrysosochloridae,Calcochloris_obtusirostris,Yellow golden mole,Calcochloris_obtusirostris_CHRYSOCHLORIDAE_AFROSORICIDA,Afrotheria,captive,6,,,,,,,,,,,,,6,0.027,17.68,"S. Kotzé, pers. Comm",100,0,0,0,0,100,0,100,0,0,0,0,0,0,Ref_1,ABC,Car,Car,-23.61,23.61,67.42,23.16,861.55,1426.16,0,0,0
Primates,Callitrichidae,Callithrix_jacchus,Common marmoset,Callithrix_jacchus_CALLITRICHIDAE_PRIMATES,Euarchontoglires,captive,5,5,0.323,58.03,5,0.32,30.13,5,0.32,5.26,5,0.32,24.87,5,0.32,88.16,"Caton et al. (1996), McGrosky et al. (2019b)",20,0,0,0,10,30,0,30,30,40,0,70,0,70,Ref_1,ABC,Herb,Omni,-6.58,6.58,99.39,24.99,912.68,1488.61,0,0,0
Rodentia,Sciuridae,Callosciurus_erythraeus,Pallas´Squirrel,Callosciurus_erythraeus_SCIURIDAE_RODENTIA,Euarchontoglires,captive,4,4,0.170,86.00,4,0.170,27.50,4,0.170,5.10,4,0.170,22.37,4,0.170,113.30,Mitsuzuka et al. (2018),20,0,0,0,10,30,0,30,20,0,20,40,30,70,Ref_1,ABC,Herb,Omni,19.18,19.18,142.62,18.89,1101.79,1352.84,0,0,0
Rodentia,Sciuridae,Callosciurus_notatus,Plantain squirrel,Callosciurus_notatus_SCIURIDAE_RODENTIA,Euarchontoglires,captive,1,1,0.210,50.00,1,0.210,22.00,1,0.210,5.00,1,0.210,17.00,1,0.210,72.00,Mitsuzuka et al. (2018),20,0,0,0,10,30,0,30,20,0,20,40,30,70,Ref_1,ABC,Herb,Omni,0.23,0.23,237.33,24.86,1665.17,1740.34,0,0,0
